Name,Description,Duration,Year,Type
La gran explosión,"Una noche, en Los Ángeles, el investigador privado Ned Cruz (Antonio Banderas) recibe la visita de un boxeador ruso, recientemente puesto en libertad condicional, que le propone un misterioso trabajo: encontrar a Lexie, su novia desaparecida, y diamantes.","1 horas, 59 minutos",2011,movie
Mi Novio es un Ladrón,"Henry Durand es un joven agente federal al que se le asigna una tarea difícil: espiar a su madre y su novio, sospechoso de liderar una banda de ladrones de arte.","1 horas, 55 minutos",2008,movie
The Code,"En Nueva York, el experimentado ladrón de arte, Keith Ripley, invita al audaz ladrón de Miami, Gabriel Martin, a unirse a él.","2 horas, 1 minutos",2009,movie
Cake: Una razón para vivir,"Claire es una mujer que sufre un dolor crónico, y se obsesiona con el suicidio de una compañera de su grupo de terapia, Nina, a la vez que inicia una relación con el viudo de ésta, Roy.","1 horas, 59 minutos",2013,movie
"Santa, qué?","En esta conmovedora historia de Navidad, donde el auténtico Papá Noel (Leslie Nielsen) se cae de su trineo y desarrolla amnesia. Luego se encuentra con un cansado periodista de televisión, quien es su única esperanza para recuperar a tiempo su memoria y poder salvar la fiesta navideña.","1 horas, 50 minutos",2000,movie
Mi Dulce Navidad,"Sadie, una exitosa ejecutiva de marketing, es hija de los dueños de una chocolatería tradicional. Cuando decide pasar la Navidad con su familia, descubre que sus padres planean vender la tienda, poniendo en riesgo su sueño de heredarla algún día.","1 horas, 41 minutos",2019,movie
El árbol de navidad,"Cuando una chica de la gran ciudad (Lacey Chabert) regresa para salvar la granja de árboles de Navidad de su infancia, puede redescubrir más de lo que esperaba, incluido su único amor verdadero.","1 horas, 44 minutos",2020,movie
Una navidad real,"Una ejecutiva de publicidad muy trabajadora, se enamora de un consultor que es un príncipe disfrazado.","1 horas, 44 minutos",2020,movie
So this is Christmas,"A los 18 años, Ashley sale con gente mala, y busca una fuga de la rutina de casa. Pero todo empieza a cambiar cuando uno de los empleados de la familia consigue animarla a hacer una pieza de teatro de Navidad para niños necesitados.","2 horas, 9 minutos",2015,movie
12 Días De Regalos,"Baxter es fotógrafo y ha recibido un premio en metálico. Con él puede pagar la boda con su novia, pero a medida que va surtiendo de regalos a gente necesitada ese dinero merma, y su chica se enfada.","1 horas, 43 minutos",2016,movie
A Song for Christmas,Charlotte es nueva en la ciudad y se da la circunstancia de que su madre ha intimado con el padre de la que parece que se va a convertir en su peor enemiga.,"1 horas, 44 minutos",2016,movie
Las navidades de Pete,Petes Christmas es una película para televisión protagonizada por Zachary Gordon y Bailee Madison. Un niño se encuentra en el centro de atención inesperado cuando se da cuenta de que el terrible día de Navidad de su familia sigue repitiéndose.,"1 horas, 44 minutos",2013,movie
A Christmas Kiss,"La diseñadora de interiores de lujo Priscilla Hall y su asistente Wendy compiten por la atención del novio de Priscilla, miembro de la alta sociedad, mientras decoran su casa para las fiestas.","1 horas, 47 minutos",2010,movie
Mejor Solo Que Mal Acompañado,"Neal quería volar a Chicago para pasar el Día de Acción de Gracias con su familia. Pero solo consigue problemas. Problemas causados por Del Griffith, un vendedor gritón que lleva a Neal en un viaje salvaje.","1 horas, 50 minutos",1986,movie
La Navidad de mi Mejor Amigo,"Durante una visita a su pueblo natal, una mujer se entera de que su ex novio tiene una nueva relación. Entonces, le pide a su mejor amigo que se haga pasar por su novio.","1 horas, 43 minutos",2019,movie
Novios por navidad,"La organizadora de eventos Valeria, traicionada por su amiga Tere que le robó a su prometido, finge un romance con Camilo para vengarse, lo que desemboca en una inesperada historia de amor navideña.","0 horas, 52 minutos",2023,movie
Deliciosa Navidad,"Máximo, chef de cocina molecular, hereda un restaurante dirigido por Luciana, experta en cocina típica. Durante la Navidad, ambos se enfrentan por sus diferentes visiones de la vida, la cocina y el amor, creando una combinación explosiva y deliciosa.","0 horas, 55 minutos",2022,movie
